author_id,author,gender,COUNT of id
199,Ricardo Monner Sans,M,4
200,Laura Serra,F,7
201,Elena Llorente,F,1
202,Miguel Hein,M,15
203,María Matilde Ollier,F,6
204,Mario Eduardo Cohen,M,2
205,Miguel Wiñazki,M,30
206,Gisela Marziotta,F,1
207,Bet Gerber,F,1
208,Facundo Manes,M,16
209,Guido Risso,M,5
210,Bernarda Llorente y Claudio Villarruel,X,5
211,Ricardo Arriazu,M,15
212,Francis Mallmann,M,8
213,Iván de Pineda,M,6
214,Diego Golombek,M,6
215,Javier Arroyuelo,M,3
216,Rafael Klejzer y Laura Bitto,X,1
218,Silvia Ramírez Gelbes,F,9
219,Agustín Salvia,M,5
220,Selva Almada,F,7
222,Mario Vargas Llosa,M,27
223,Claudio Mauri,M,1
224,Ángeles Castro,F,1
225,Leonardo Ferri,M,7
226,Fabiana Kramarz,F,1
227,Mercedes López San Miguel,F,3
228,Eduardo Jozami,M,9
229,Mariano Borinsky,M,5
230,Damián Nabot,M,6
231,Alejandro Katz,M,4
232,Andrea Churba,F,30
233,Verónica Chiaravalli,F,7
234,Aldo Neri,M,7
235,Ignacio Miri,M,3
236,Federico Despoulis Netri,M,1
237,Nora Veiras,F,8
238,Fabián Echegaray,M,2
239,Roberto Borrone,M,1
240,Gloria Casañas,F,4
241,Andrés Osojnik,M,2
242,Miguel Gaya,M,1
243,Mariana Carbajal,F,64
244,Pacho O’Donnell,M,4
245,Silvina Marquez,F,2
246,Santiago Farrell,M,2
247,Jorge Ossona,M,20
248,Jorge Lapeña,M,2
249,Rodolfo Werner,M,2
250,Rebeca Hillert,F,1
251,Facundo Martínez,M,8
252,"Alejandro López Accotto, Carlos Martínez y Martín Mangas",M,1
253,Cristian Rodríguez,M,2
254,Ramiro Albrieu,M,4
255,Norberto Rodríguez,M,2
256,Claudia Fernández Chaparro,F,3
257,Ana Pardo,F,1
258,Ignacio Encabo,M,1
259,Guillermo Rozenwurcel,M,7
260,Maximiliano Rusconi,M,6
261,Eduardo Fabregat,M,28
262,Raúl Dellatorre,M,16
263,Diana Cohen Agrest,F,7
264,Pedro Villagra Delgado,M,1
265,Marcelo Rudaeff (Rudy),M,50
266,Sebastián Lacunza,M,2
267,Felipe Frydman,M,7
268,Omar Argüello,M,3
269,Félix Lonigro,M,3
270,Ezequiel Spector,M,5
271,Felipe de la Balze,M,1
272,Javier Cercas,M,4
273,Arturo Pérez-Reverte,M,9
274,Víctor Hugo Ghitta,M,42
275,Slavoj Zizek,M,2
277,Carlos De Simone,M,3
278,Gabriel Litwin,M,6
279,Víctor Santa María,M,3
