id,title,site,url,added,last_seen,author_id,id,author,gender
36,"¿A dónde van los impuestos?",perfil,/columnistas/a-donde-van-los-impuestos.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,35,35,"Angélica Gorodischer",F
37,"Al infinito y más allá",perfil,/columnistas/al-infinito-y-mas-alla.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,36,36,"Daniel Link",M
38,"La Banelco no se rinde",clarin,/opinion/banelco-rinde_0_H16wdf0xG.html,2017-12-01T19:42:08-03:00,2017-12-01T19:42:08-03:00,37,37,"Ricardo Kirschbaum",M
39,"La reforma laboral y el Papa",clarin,/opinion/reforma-laboral-estancada-guinos-vaticano_0_Sy8jOM0gM.html,2017-12-01T19:42:08-03:00,2017-12-01T19:42:08-03:00,38,38,"Marcelo Bonelli",M
40,"Sobre el ajuste y otras confusiones",clarin,/opinion/ajuste-confusiones_0_Hy02WzRlM.html,2017-12-01T19:42:08-03:00,2017-12-01T19:42:08-03:00,39,39,"Eugenio Díaz Bonilla",M
41,"La grieta, así en la vida como en la Biblia",clarin,/opinion/grieta-vida-biblia_0_BkIrzf0gz.html,2017-12-01T19:42:08-03:00,2017-12-01T19:42:08-03:00,40,40,"Padre Lic. Luis Rafael Velasco",M
42,"Ya no importa si hubo suerte: ahora hay que jugar (y ganar)",lanacion,/2087498-ya-no-importa-si-hubo-suerte-ahora-hay-que-jugar-y-ganar,2017-12-01T21:07:56-03:00,2017-12-01T21:07:56-03:00,41,41,"Sebastián Fest",M
43,"La obligación de la Argentina: ganarle a la Cenicienta para que el grupo no sea una trampa",lanacion,/2087520-mundial-rusia-2018-ganarle-a-la-cenicienta-para-que-el-grupo-no-se-convierta-en-una-trampa,2017-12-01T21:07:56-03:00,2017-12-01T21:07:56-03:00,42,42,"Cristian Grosso",M
44,"No hay grupos de la muerte, hay grupos de la suerte",lanacion,/2087539-mundial-rusia-2018-no-hay-grupos-de-la-muerte-hay-grupos-de-la-suerte,2017-12-01T21:07:56-03:00,2017-12-01T21:07:56-03:00,43,43,"Javier Saúl",M
45,"Un argentino en el partido inaugural, una de las curiosidades que arrojó el sorteo",lanacion,/2087518-mundial-rusia-2018-las-curiosidades-que-el-sorteo-le-transfirio-al-fixture,2017-12-01T21:07:56-03:00,2017-12-01T21:07:56-03:00,44,44,"Pablo Vignone",M
46,"Moyano conducción, contra toda corrupción",lanacion,/2087716-moyano-conduccion-contra-toda-corrupcion,2017-12-02T16:43:43-03:00,2017-12-02T16:43:43-03:00,45,45,"Carlos M. Reymundo Roberts",M
47,"Comodoro Py espía la lista negra",lanacion,/2087649-comodoro-py-espia-la-lista-negra,2017-12-02T16:43:43-03:00,2017-12-02T16:43:43-03:00,46,46,"Francisco Olivera",M
48,"Afloran, de nuevo, los viejos odios",lanacion,/2087604-afloran-de-nuevo-los-viejos-odios,2017-12-02T16:43:43-03:00,2017-12-02T16:43:43-03:00,47,47,"Héctor M. Guyot",M
49,"Lo que no admite el arte del acuerdo",lanacion,/2087648-lo-que-no-admite-el-arte-del-acuerdo,2017-12-02T16:43:43-03:00,2017-12-02T16:43:43-03:00,48,48,"Eduardo Fidanza",M
50,"Historia de ricos y famosos",clarin,/opinion/historia-ricos-famosos_0_BJoCzK1Zf.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,1,1,"Ricardo Roa",M
51,"Pateando el tablero",clarin,/opinion/pateando-tablero_0_ryWop0CeG.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,49,49,"Silvia Fesquet",F
52,"Plata y cohetes: ¿Cómo es esto de que a ...",clarin,/opinion/plata-cohetes-corea-norte-va-bien_0_Sy2LPL1Zz.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,50,50,"Marcelo Cantelmi",M
53,"El triángulo virtuoso del aprendizaje",clarin,/opinion/triangulo-virtuoso-aprendizaje_0_ByOt38k-z.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,51,51,"Daniel Calvo",M
54,"Ley de paridad: apenas otro punto de partida",clarin,/opinion/ley-paridad-apenas-punto-partida_0_By97p81-f.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,52,52,"María Page",F
55,"La caja de Pandora de las barras",pagina12,https://www.pagina12.com.ar/79592-la-caja-de-pandora-de-las-barras,2017-12-02T16:42:51-03:00,2017-12-02T16:42:51-03:00,53,53,"Gustavo Veiga",M
56,"Actuar por otros",pagina12,https://www.pagina12.com.ar/79511-actuar-por-otros,2017-12-02T16:42:51-03:00,2017-12-02T16:42:51-03:00,54,54,"Diego Trerotola",M
57,"Patricia Bullrich, la mano más dura del Gobierno",pagina12,https://www.pagina12.com.ar/79490-la-mujer-ahi,2017-12-02T16:42:51-03:00,2017-12-02T16:42:51-03:00,55,55,"Roxana Sandá",F
58,"Doble vara con los violentos de un sector mapuche",clarin,/opinion/doble-vara-violentos-sector-mapuche_0_rJtaTIyZz.html,2017-12-02T16:43:17-03:00,2017-12-02T16:43:17-03:00,56,56,"Jorge Lanata",M
59,"Proyectando Argentina 2030",perfil,/columnistas/proyectando-argentina-2030.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,13,13,"Jorge Fontevecchia",M
60,"Pelea de fondo",perfil,/columnistas/pelea-de-fondo3.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,27,27,"Roberto García",M
61,"El Estado de los argentinos",perfil,/columnistas/el-estado-de-los-argentinos.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,57,57,"Carlos De Angelis",M
62,"Mal de mar",perfil,/columnistas/mal-de-mar.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,35,35,"Angélica Gorodischer",F
63,"¿Qué hacen con la tristeza?",perfil,/columnistas/que-hacen-con-la-tristeza.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,58,58,"Carlos Ares",M
64,"El espía que bajó del cielo",perfil,/columnistas/el-espia-que-bajo-del-cielo.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,59,59,"Miguel Roig",M
65,"Lo dado",perfil,/columnistas/lo-dado.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,36,36,"Daniel Link",M
66,"Escritores de la mano abierta",perfil,/columnistas/escritores-de-la-mano-abierta.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,33,33,"Fabián Casas",M
67,"De la tierra al cielo",perfil,/columnistas/de-la-tierra-al-cielo.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,34,34,"Daniel Guebel",M
68,"Más allá del 14 bis",perfil,/columnistas/mas-alla-del-14-bis.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,60,60,"Rafael Spregelburd",M
69,"Moneda nacional",perfil,/columnistas/moneda-nacional.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,61,61,"Martín Kohan",M
70,"Cuando la mentira es la verdad",pagina12,https://www.pagina12.com.ar/80111-cuando-la-mentira-es-la-verdad,2017-12-03T13:32:17-03:00,2017-12-03T13:32:17-03:00,62,62,"Martín Lozada",M
71,"El poder de las palabras",pagina12,https://www.pagina12.com.ar/80109-el-poder-de-las-palabras,2017-12-03T13:32:17-03:00,2017-12-03T13:32:17-03:00,63,63,"Irina Hauser",F
72,"Cristina, el movimiento obrero y la unidad de la oposición",pagina12,https://www.pagina12.com.ar/80094-cristina-el-movimiento-obrero-y-la-unidad-de-la-oposicion,2017-12-03T13:32:17-03:00,2017-12-03T13:32:17-03:00,64,64,"Edgardo Mocca",M
73,"El triste Sur de nuestra América",pagina12,https://www.pagina12.com.ar/80071-el-triste-sur-de-nuestra-america,2017-12-03T13:32:17-03:00,2017-12-03T13:32:17-03:00,65,65,"Eric Nepomuceno",M
74,"Antes y después del balazo letal",pagina12,https://www.pagina12.com.ar/80099-antes-y-despues-del-balazo-letal,2017-12-03T13:32:17-03:00,2017-12-03T13:32:17-03:00,66,66,"Mario Wainfeld",M
75,"El G20",perfil,/columnistas/el-g20.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,13,13,"Jorge Fontevecchia",M
76,Irregularidades,perfil,/columnistas/irregularidades.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,14,14,"Nelson Castro",M
77,"Los opuestos no se atraen",perfil,/columnistas/los-opuestos-no-se-atraen.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,16,16,"Sergio Berensztein",M
78,"Hipermodernidad mapuche",perfil,/columnistas/hipermodernidad-mapuche.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,17,17,"Gustavo González",M
79,"La derecha peligrosa en el hemisferio norte",perfil,/columnistas/la-derecha-peligrosa-en-el-hemisferio-norte.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,67,67,"Daniel Muchnik",M
80,"Falsa empatía entre timbreos y submarino",perfil,/columnistas/falsa-empatia-entre-timbreos-y-submarino.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,21,21,"Javier Calvo",M
81,"Fanatismo y sentimientos",perfil,/columnistas/fanatismo-y-sentimientos.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,15,15,"Jaime Duran Barba",M
82,"El país de las culpas largas",perfil,/columnistas/el-pais-de-las-culpas-largas.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,68,68,"Sergio Sinay",M
83,"Todas pasan, y otros anillos",perfil,/columnistas/todas-pasan-y-otros-anillos.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,19,19,"Hugo Asch",M
84,"Relecturas obligadas",perfil,/columnistas/relecturas-obligadas.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,25,25,"Damián Tabarovsky",M
85,"El peso imposible de la belleza",perfil,/columnistas/el-peso-imposible-de-la-belleza.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,24,24,"Guillermo Piro",M
86,"Humor, libertad y buen gusto",perfil,/columnistas/humor-libertad-y-buen-gusto.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,18,18,"Julio Petrarca",M
87,"La cola del perro ",perfil,/columnistas/la-cola-del-perro.phtml,2017-12-03T13:34:14-03:00,2017-12-09T06:30:39-03:00,69,69,"Carlos Gabetta",M
88,"La política, en la construcción de las mayorías",clarin,/opinion/politica-construccion-mayorias_0_rkuxwul-M.html,2017-12-03T17:06:53-03:00,2017-12-03T17:06:53-03:00,37,37,"Ricardo Kirschbaum",M
89,"Los Moyano, en la cuenta regresiva",clarin,/politica/moyano-cuenta-regresiva_0_H1wPIvJZG.html,2017-12-03T17:06:53-03:00,2017-12-03T17:06:53-03:00,2,2,"Julio Blanck",M
90,"Macri, la historia y las tragedias",clarin,/opinion/desafios_0_HJPYKU1Wf.html,2017-12-03T17:06:53-03:00,2017-12-03T17:06:53-03:00,70,70,"Eduardo van der Kooy",M
91,"Obras públicas, premios y castigos",clarin,/opinion/obras-publicas-premios-castigos_0_ryqsiPkZM.html,2017-12-03T17:06:53-03:00,2017-12-03T17:06:53-03:00,71,71,"Alcadio Oña",M
92,"Elecciones y sociedades del futuro",clarin,/opinion/elecciones-sociedades-futuro_0_rJd0nqxWz.html,2017-12-03T17:06:53-03:00,2017-12-03T17:06:53-03:00,72,72,"Ricardo Lagos",M
93,"Las lecciones de Ana",clarin,/ciudades/lecciones-ana_0_rk44sWz-M.html,2017-12-04T16:27:25-03:00,2017-12-04T16:27:25-03:00,49,49,"Silvia Fesquet",F
94,"El ""peronismo racional"" busca un candidato ...",clarin,/opinion/peronismo-racional-busca-candidato-despues-mundial_0_B1EBjTZ-f.html,2017-12-04T16:27:25-03:00,2017-12-04T16:27:25-03:00,73,73,"Fernando Gonzalez",M
95,"Un presidente sin mayoría",clarin,/opinion/presidente-mayoria_0_rJapxig-f.html,2017-12-04T16:27:25-03:00,2017-12-04T16:27:25-03:00,74,74,"Ana María Mustapic",F
96,"Aplausos para el otoño del señor senador",clarin,/opinion/aplausos-otono-senor-senador_0_By1_ioxWM.html,2017-12-04T16:27:25-03:00,2017-12-04T16:27:25-03:00,75,75,"Osvaldo Pepe",M
97,"Argentina 2025: ¿y si esta vez sale bien?",lanacion,/2088194-argentina-2025-y-si-esta-vez-sale-bien,2017-12-04T16:28:01-03:00,2017-12-04T16:28:01-03:00,76,76,"Guillermo Oliveto",M
98,"Por tercera vez, la ecologista Marina Silva busca la presidencia de Brasil",lanacion,/2088214-por-tercera-vez-la-ecologista-marina-silva-busca-la-presidencia-de-brasil,2017-12-04T16:28:01-03:00,2017-12-04T16:28:01-03:00,77,77,"Alberto Armendáriz",M
99,"Gobernar lo propio o hacer oposición, la verdadera grieta peronista",lanacion,/2088183-gobernar-lo-propio-o-hacer-oposicion-la-verdadera-grieta-peronista,2017-12-04T16:28:01-03:00,2017-12-04T16:28:01-03:00,78,78,"Sergio Suppo",M
100,"Creerle siempre al chico, la clave para poder ayudarlo cuanto antes",lanacion,/1980068-creerle-siempre-al-chico-la-clave-para-poder-ayudarlo-cuanto-antes,2017-12-04T16:28:01-03:00,2017-12-04T16:28:01-03:00,79,79,"Andrea Aghazarian",F
101,"Unidad, unidad, unidad",pagina12,https://www.pagina12.com.ar/80271-unidad-unidad-unidad,2017-12-04T16:28:36-03:00,2017-12-04T16:28:36-03:00,80,80,"Nicolás Trotta",M
102,"La sentencia de la ESMA en los medios europeos",pagina12,https://www.pagina12.com.ar/80274-la-sentencia-de-la-esma-en-los-medios-europeos,2017-12-04T16:28:36-03:00,2017-12-04T16:28:36-03:00,81,81,"Jorge Alemán",M
